127.0.0.1 - - [02/Mar/2020:16:24:50 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:27:56 +0530] "GET /Project_Training/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:27:57 +0530] "GET /Project_Training/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:28:06 +0530] "GET /Project_Training/validate.jsp?id=101&pwd=Admin1234 HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:28:49 +0530] "GET /Project_Training/validate.jsp?id=101&pwd=Admin1234 HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:29:47 +0530] "GET /Project_Training/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:29:57 +0530] "GET /Project_Training/validate.jsp?id=101&pwd=Admin1234 HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:33:03 +0530] "GET /Project_Training/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:33:05 +0530] "GET /Project_Training/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:33:21 +0530] "GET /Project_Training/validate.jsp?id=102&pwd=1234 HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:40:02 +0530] "GET /Project_Training/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:40:03 +0530] "GET /Project_Training/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:40:11 +0530] "GET /Project_Training/validate.jsp?id=102&pwd=1234 HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:40:24 +0530] "GET /Project_Training/validate.jsp?id=102&pwd=1234 HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:40:26 +0530] "GET /Project_Training/add.html HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:42:04 +0530] "GET /Project_Training/validate.jsp?id=102&pwd=1234 HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:42:51 +0530] "GET /Project_Training/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:42:58 +0530] "GET /Project_Training/validate.jsp?id=102&pwd=1234 HTTP/1.1" 200 509
